Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 9,105,258,466          1,376   1,859  None  None  None  None  None  None  None     None          None               0.001            744.186  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,105,648,226        458,753   1,874  None  None  None  None  None  None  None     None          None               3.670          7,996.965  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,106,774,275      3,863,202   1,893  None  None  None  None  None  None  None     None          None              25.690          6,628.049  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,110,891,749          2,048   1,908  None  None  None  None  None  None  None     None          None               0.007          3,499.998  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,111,460,837      3,859,394   1,927  None  None  None  None  None  None  None     None          None              25.690          6,653.739  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,115,578,247          1,408   1,942  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,116,148,679        459,296   1,961  None  None  None  None  None  None  None     None          None               3.670          7,989.625  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,117,772,392     20,843,689   1,990  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,139,086,161          2,080   2,005  None  None  None  None  None  None  None     None          None               0.001            492.307  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,139,489,297        458,400   2,020  None  None  None  None  None  None  None     None          None               3.670          8,004.305  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,140,628,689      3,970,914   2,039  None  None  None  None  None  None  None     None          None              25.690          6,448.218  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,144,861,555          2,048   2,054  None  None  None  None  None  None  None     None          None               0.007          3,499.998  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,145,548,596      3,864,769   2,075  None  None  None  None  None  None  None     None          None              25.690          6,628.049  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,149,670,453          1,408   2,090  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,150,072,470        456,288   2,105  None  None  None  None  None  None  None     None          None               3.670          8,041.005  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
